ID,Integration Flow,Hire Sync Validation,Error Message Notification,Where to do the correction,Who should do the correction
E1,New/Creation,"Offer must be approved
",There is no approved offer available for this candidate. Please check and set the status accordingly,Approval process to be completed by pending approver,Recruiter (People Ops to contact the Recruiter)
E2,,"Requisition reason must be ""New"" or ""Replacement""",Requisition Reason should be New or Replacement to process pending worker creation. Please check and retry,Job details,Recruiter (People Ops to contact the Recruiter)
E3,,Labour Contract Title must be a valid one for Romania & Moldova. If N/A value selected for RO & MD it will error out,Contract Title at job level cannot be N/A for this country, Offer Form,People Ops
E4,,"For Assignment Category: ""full time fix-term"" or ""part time fixed-term"" there must be an End Date specified in Offer otherwise it will error out",End Date is mandatory for Assignment Category Type: full time fixed-term, Offer Form,Recruiter (People Ops to contact the Recruiter)
E5,,Internal Job Title + Grade combination,Job Code not found in HCM. Kindly check and resubmit,Job details,Recruiter (People Ops to contact the Recruiter)
E6,,Worker Category: TAC value will error out as this is not handled via process and integration logic,The payroll employment terms is invalid,Job details,Recruiter (People Ops to contact the Recruiter)
E7,,"Combination of Legal Entity, Business Unit Code & Cost Center must be correctly set to derive the HCM Default Expense Account automatic through integration","Default expense account validation failure, and then more details like in this example Cross-Validation Rules: CVR 20: People BUs should allow postings in CCs 238, 239, 240, 241, 243, 244",Job details,Recruiter & People Ops wil validate
E8,,If Postal Code/Zip Code is not present or in incorrect format it will error out. The default Oracle HCM postal code system validation is in place,The postal code isn't valid. Enter a value in the format….,"1.If the candidate filled it in wrong - correction to be done in the Offer tab 
2. If the recruiter filled it in wrong - correction (format, wrong value, etc.) to be done in the Offer tab",Recruiter (People Ops to contact the Recruiter)
E9,,If Salary basis does not exist in HCM it will error out and action needs to be taken by Comp&Ben to create in HCM the Salary Basis,Salary basis validation failed. Example error: Salary Basis Name: Poland - People does not exist in Oracle,Please check with C&B Team if the Grade/Location/Discipline etc are aligned and we have a salary basis defined.,People Ops
E10,,Actual Working Hours(Weekly)  not filled in for Assignement Category part time indefinite or part time fixed-term and Standard Working Hours is either less than 20 or more than 20,You need to enter the working hours because you have entered a frequency value., Offer Form,Recruiter (People Ops to contact the Recruiter)
E11,,Legal Entity/Employer not existing or inactive in Oracle HCM even though selectable in ATS,Organization Id not found in HCM for provided Legal Entity. Work Location not found in HCM. Kindly check and resubmit.,Job details,Recruiter (People Ops to contact the Recruiter)
E12,,Phone Details incorrect or missing,"Please enter a phone number using only numbers, with no letters, spaces, or special characters. Or ""Phone ID cannot be updated""",Edit contact info tab,Recruiter (People Ops to contact the Recruiter)
E13,Rehire Flow,If Former Worker is set to yes and Employee ID is present the re-hire integration flow will work. If just Former Worker is set to yes but Employee ID is missing it will error out,"Employee ID in ATS should not be blank in case you submit a rehire. Please obtain the Person Number from HCM, populate Employee ID in ATS and then resubmit with Former Worker as Yes",Hire Form,People Ops
E14,,If Former Worker is set to yes and Employee ID is present but the Employee ID provided is from an active employee it will error out,There is an active Work Relationship for Employee ID: xxxxxx. Please ensure the right Employee ID is set in ATS for the rehire and resubmit,Hire Form,People Ops
E15,,If Employee ID  is filled in but radio button for Former Worker set to no it throws an error,"There is an Employee ID filled in but the Former Worker set to no. If it is a re-hire, please set Former Worker radio button to yes and retry.",Hire Form,People Ops
E16,Update Rehire,"In case there is a need to update re-hire candidate data that was previously triggered to be sent to HCM (e.g new start date), the Former Worker checkbox must be set to no and Employee ID removed, otherwise it will error out","Worker already exists with an active work relationship in Oracle. If you are trying to update a rehire, please ensure to switch off the Former Worker radio button and remove the Employee ID in ATS and resubmit",Hire Form,People Ops
E17,Update Flow,"In case the update of start date is triggered from ATS for a pending worker that was already converted to active employee at the previous start date, the integration will notify that work relationship is active and start date would need to be updated manually in HCM, outside of ATS","The person already has a work relationship of this type with this legal employer. (PER-1530236).A 400 Bad Request Error indicates that the target service is unable (or refuses) to process the request sent by the client (Oracle Integration Cloud), due to an issue that is perceived by the server to be a client problem",Offer Form,People Ops/ Data Entry
E18,New/Creation,"ATS Data Entry in applicant profile, ""Location"" field got filled in manually via job boards instead of selection from drop down
If not selected/corrected from drop-down the country does not get picked up by the integration.",The PersonEO_PersonAddressUsage_WorkerVOToAddressVO_AddressVO ,Edit contact info tab,People Ops
E19,,Cost Center missing from Job Details,Default expense account validation failure; You're using a segment value that doesn't exist,Job details,Recruiter & People Ops wil validate
E20,,Missing Work schedule,Work Schedule is mandatory for part-time candidates. Please populate it and resubmit ,Offer Form,Recruiter (People Ops to contact the Recruiter)
,,,,,
,,,,,
,,,,,
